order_item_id,order_id,product_id,quantity,unit_price,subtotal
97,31,12,3,187.64,562.92
98,31,12,4,187.64,750.56
99,31,3,5,413.58,2067.9
100,32,5,2,359.81,719.62
101,33,16,1,459.18,459.18
102,33,6,4,23.74,94.96
103,33,6,4,23.74,94.96
104,33,9,3,284.21,852.63
105,34,20,1,492.47,492.47
106,34,15,1,177.82,177.82
107,35,3,3,413.58,1240.74
108,35,17,3,235.52,706.56
109,35,15,2,177.82,355.64
110,36,6,4,23.74,94.96
111,37,4,2,381.76,763.52
112,37,14,4,340.61,1362.44
113,37,2,4,136.53,546.12
114,38,18,5,262.21,1311.05
115,39,9,1,284.21,284.21
116,39,1,5,61.05,305.25
117,39,15,1,177.82,177.82
118,39,13,4,419.86,1679.44
119,39,10,5,369.17,1845.85
120,40,11,5,62.03,310.15
121,40,2,2,136.53,273.06
122,40,8,3,83.62,250.86
123,41,10,4,369.17,1476.68
124,41,4,3,381.76,1145.28
125,41,16,4,459.18,1836.72
126,41,5,4,359.81,1439.24
127,41,14,4,340.61,1362.44
128,42,9,2,284.21,568.42
129,42,18,4,262.21,1048.84
130,42,5,5,359.81,1799.05
131,43,9,1,284.21,284.21
132,43,7,1,358.87,358.87
133,43,17,1,235.52,235.52
134,43,8,4,83.62,334.48
135,43,4,3,381.76,1145.28
136,44,16,3,459.18,1377.54
137,45,15,4,177.82,711.28
138,46,2,4,136.53,546.12
139,46,15,2,177.82,355.64
140,47,8,2,83.62,167.24
141,47,20,1,492.47,492.47
142,47,6,3,23.74,71.22
143,47,8,4,83.62,334.48
144,48,13,1,419.86,419.86
145,48,2,1,136.53,136.53
146,48,16,5,459.18,2295.9
147,49,14,2,340.61,681.22
148,50,4,3,381.76,1145.28
149,50,9,3,284.21,852.63
150,50,8,3,83.62,250.86
151,50,20,2,492.47,984.94
152,51,14,2,340.61,681.22
153,51,15,5,177.82,889.1
154,52,19,1,445.9,445.9
155,52,9,3,284.21,852.63
156,52,2,1,136.53,136.53
157,52,20,2,492.47,984.94
158,53,2,2,136.53,273.06
159,53,12,3,187.64,562.92
160,53,2,5,136.53,682.65
161,54,18,1,262.21,262.21
162,54,14,5,340.61,1703.05
163,55,6,1,23.74,23.74
164,56,14,2,340.61,681.22
165,56,19,4,445.9,1783.6
166,56,20,4,492.47,1969.88
167,56,7,1,358.87,358.87
168,57,16,4,459.18,1836.72
169,58,14,3,340.61,1021.83
170,58,20,3,492.47,1477.41
171,58,16,3,459.18,1377.54
172,58,20,4,492.47,1969.88
173,58,18,1,262.21,262.21
174,59,13,1,419.86,419.86
175,59,7,4,358.87,1435.48
176,59,8,2,83.62,167.24
177,59,2,4,136.53,546.12
178,60,18,5,262.21,1311.05
179,60,8,1,83.62,83.62
180,61,2,5,136.53,682.65
181,61,17,4,235.52,942.08
182,61,2,1,136.53,136.53
183,62,15,4,177.82,711.28
184,62,2,2,136.53,273.06
185,62,14,4,340.61,1362.44
186,62,16,1,459.18,459.18
187,62,18,3,262.21,786.63
188,63,1,3,61.05,183.15
189,64,15,5,177.82,889.1
190,64,3,3,413.58,1240.74
191,64,2,1,136.53,136.53
192,64,12,4,187.64,750.56
193,64,13,5,419.86,2099.3
194,65,16,3,459.18,1377.54
195,65,5,5,359.81,1799.05
196,65,20,3,492.47,1477.41
197,65,12,1,187.64,187.64
198,66,18,4,262.21,1048.84
199,66,18,1,262.21,262.21
200,66,9,1,284.21,284.21
201,66,3,5,413.58,2067.9
202,67,20,4,492.47,1969.88
203,67,19,2,445.9,891.8
204,67,15,2,177.82,355.64
205,68,18,3,262.21,786.63
206,69,6,4,23.74,94.96
207,69,4,4,381.76,1527.04
208,70,16,4,459.18,1836.72
209,71,1,1,61.05,61.05
210,71,7,2,358.87,717.74
211,72,4,2,381.76,763.52
212,73,20,1,492.47,492.47
213,73,2,5,136.53,682.65
214,73,6,4,23.74,94.96
215,74,13,1,419.86,419.86
216,74,9,5,284.21,1421.05
217,74,10,2,369.17,738.34
218,75,14,5,340.61,1703.05
219,75,3,1,413.58,413.58
220,75,16,3,459.18,1377.54
221,75,18,4,262.21,1048.84
222,76,12,4,187.64,750.56
223,76,8,3,83.62,250.86
224,77,20,1,492.47,492.47
225,77,3,3,413.58,1240.74
226,78,8,4,83.62,334.48
227,79,11,2,62.03,124.06
228,79,4,5,381.76,1908.8
229,79,3,4,413.58,1654.32
230,79,12,4,187.64,750.56
231,79,1,3,61.05,183.15
232,80,18,3,262.21,786.63
233,80,19,4,445.9,1783.6
234,80,19,5,445.9,2229.5
235,80,4,3,381.76,1145.28
236,80,2,2,136.53,273.06
237,81,8,3,83.62,250.86
238,81,17,4,235.52,942.08
239,81,4,2,381.76,763.52
240,81,4,5,381.76,1908.8
241,82,3,1,413.58,413.58
242,82,20,4,492.47,1969.88
243,83,17,3,235.52,706.56
244,83,4,3,381.76,1145.28
245,83,19,1,445.9,445.9
246,83,16,2,459.18,918.36
247,83,7,3,358.87,1076.61
248,84,4,5,381.76,1908.8
249,85,13,2,419.86,839.72
250,86,13,4,419.86,1679.44
251,86,13,1,419.86,419.86
252,86,17,2,235.52,471.04
253,86,11,2,62.03,124.06
254,87,4,2,381.76,763.52
255,87,10,1,369.17,369.17
256,87,19,4,445.9,1783.6
257,88,13,3,419.86,1259.58
258,88,16,3,459.18,1377.54
259,88,17,3,235.52,706.56
260,88,6,3,23.74,71.22
261,89,17,1,235.52,235.52
262,89,19,5,445.9,2229.5
263,90,5,5,359.81,1799.05
264,90,3,2,413.58,827.16
265,90,15,1,177.82,177.82
266,90,4,1,381.76,381.76
267,91,5,3,359.81,1079.43
268,91,5,1,359.81,359.81
269,92,6,3,23.74,71.22
270,92,4,5,381.76,1908.8
271,93,11,3,62.03,186.09
272,93,8,1,83.62,83.62
273,93,8,4,83.62,334.48
274,94,14,5,340.61,1703.05
275,94,6,1,23.74,23.74
276,94,13,3,419.86,1259.58
277,94,10,5,369.17,1845.85
278,95,5,5,359.81,1799.05
279,95,12,5,187.64,938.2
280,95,11,1,62.03,62.03
281,96,20,1,492.47,492.47
282,97,15,1,177.82,177.82
283,97,19,2,445.9,891.8
284,98,9,5,284.21,1421.05
285,98,18,4,262.21,1048.84
286,99,16,4,459.18,1836.72
287,99,17,5,235.52,1177.6
288,99,15,5,177.82,889.1
289,100,4,3,381.76,1145.28
290,100,11,4,62.03,248.12
